state,district,pincode,audit_status,total_txns,risk_reason,severity_score
West Bengal,24 Paraganas North,743271,HIGH RISK - Action Required,61.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.005030035299604774
Andhra Pradesh,Spsr Nellore,524322,HIGH RISK - Action Required,125.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates",-0.004889523155271469
Karnataka,Bengaluru Urban,560047,HIGH RISK - Action Required,420.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.004209662220249655
Gujarat,Ahmadabad,382421,HIGH RISK - Action Required,415.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.002728033915764594
Karnataka,Bengaluru Urban,560085,HIGH RISK - Action Required,399.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.0022348257371928026
Karnataka,Bengaluru Urban,560037,HIGH RISK - Action Required,882.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.001495928886403708
Karnataka,Bengaluru Urban,560077,HIGH RISK - Action Required,903.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.001495928886403708
Karnataka,Bengaluru Urban,560100,HIGH RISK - Action Required,889.0,"Sustained High Speed, Abnormally Low Bio Updates, Impossible Speed Spike",-0.001495928886403708
Gujarat,Banas Kantha,385130,HIGH RISK - Action Required,191.0,"Abnormally Low Bio Updates, Impossible Speed Spike",-0.001364381562822592
Maharashtra,Aurangabad,431001,HIGH RISK - Action Required,8628.0,"Sustained High Speed, Impossible Speed Spike",-0.0005724565330846865
Maharashtra,Hingoli,431712,HIGH RISK - Action Required,337.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates",-0.0003127562838793896
Assam,Sivasagar,785697,HIGH RISK - Action Required,57.0,"Sustained High Speed, Abnormally Low Bio Updates",-0.00029740986315740514
Uttar Pradesh,Mathura,272153,HIGH RISK - Action Required,861.0,"Suspicious Weekend Activity, Sustained High Speed, Abnormally Low Bio Updates",-0.00012496973296927116
